LOCALIDAD;Lon;Lat;Province
CADIZ;-6.285;36.52583333;CADIZ
ALGECIRAS;-5.47861111;36.09277778;CADIZ
JEREZ DE LA FRONTERA;-6.06777778;36.75166667;CADIZ
CONIL DE LA FRONTERA;-6.08222222;36.28444444;CADIZ
SANLUCAR DE BARRAMEDA;-6.35333333;36.78194444;CADIZ
PUERTO REAL;-6.16805556;36.46944444;CADIZ
CADIZ;-6.27586111;36.50916667;CADIZ
ALGECIRAS;-5.45777778;36.13861111;CADIZ
JEREZ DE LA FRONTERA;-6.03194444;36.715;CADIZ
CONIL DE LA FRONTERA;-6.14777778;36.3125;CADIZ
SANLUCAR DE BARRAMEDA;-6.345;36.77055556;CADIZ
ARCOS DE LA FRONTERA;-5.80694444;36.75222222;CADIZ
CADIZ;-6.29611111;36.535;CADIZ
ALGECIRAS;-5.44833333;36.13444444;CADIZ
JEREZ DE LA FRONTERA;-6.091;36.7195;CADIZ
CONIL DE LA FRONTERA;-6.08722222;36.28;CADIZ
SANLUCAR DE BARRAMEDA;-6.33333333;36.795;CADIZ
ARCOS DE LA FRONTERA;-5.79888889;36.74138889;CADIZ
SAN FERNANDO;-6.18764167;36.46758333;CADIZ
CADIZ;-6.271955;36.50085;CADIZ
ALGECIRAS;-5.45102778;36.1495;CADIZ
BARRIO NUEVO - EL COLORADO;-6.08611111;36.33305556;CADIZ
SANLUCAR DE BARRAMEDA;-6.38552778;36.75944444;CADIZ
EL PUERTO DE SANTA MARIA;-6.23878889;36.61435556;CADIZ
CADIZ;-6.27944444;36.51333333;CADIZ
ALGECIRAS;-5.4475;36.11972222;CADIZ
JEREZ DE LA FRONTERA;-6.10166694;36.69527833;CADIZ
BARBATE;-5.92083333;36.19194444;CADIZ
CHIPIONA;-6.42055556;36.73777778;CADIZ
SAN FERNANDO;-6.20805556;36.47416667;CADIZ
CADIZ;-6.29555556;36.53611111;CADIZ
ALGECIRAS;-5.44305556;36.11083333;CADIZ
JEREZ DE LA FRONTERA;-6.11891667;36.71347222;CADIZ
BARBATE;-5.84472222;36.14416667;CADIZ
CHIPIONA;-6.43527778;36.72527778;CADIZ
CADIZ;-6.29305556;36.53416667;CADIZ
ALGECIRAS;-5.46805556;36.12111111;CADIZ
JEREZ DE LA FRONTERA;-6.12653056;36.7030575;CADIZ
BARBATE;-6.01555556;36.185;CADIZ
CHIPIONA;-6.42861111;36.74166667;CADIZ
CADIZ;-6.27422222;36.50583333;CADIZ
ALGECIRAS;-5.44338889;36.12936111;CADIZ
JEREZ DE LA FRONTERA;-6.12307778;36.69889167;CADIZ
BARBATE;-5.92096111;36.18731667;CADIZ
CADIZ;-6.29008611;36.53165278;CADIZ
ALGECIRAS;-5.44888889;36.13083333;CADIZ
JEREZ DE LA FRONTERA;-6.13916667;36.70277778;CADIZ
BARBATE;-5.84333333;36.13361111;CADIZ
CHIPIONA;-6.43833333;36.73388889;CADIZ
CADIZ;-6.27527778;36.51972222;CADIZ
ALGECIRAS;-5.44569444;36.09897222;CADIZ
JEREZ DE LA FRONTERA;-6.1438;36.69426667;CADIZ
ROCHE;-6.14027778;36.32;CADIZ
CHIPIONA;-6.42243611;36.69898056;CADIZ
CADIZ;-6.30472222;36.52944444;CADIZ
